State B,State B code,styear,StateB primary target?,Name,UNRES,Location,dispnum,RemoveCase,stday,stmon,endday,endmon,endyear,Ongoing,cumdurat,Era,Decade,PresName,Frontier War,Era2,US HiHost,US HighAct,dyadic hostility,dyadic HighAct,HihostB,HighActB,US Orig,originatA,originatB,sideaa,InterType,Objective,ObjectiveCode,ForeignReg,BuildReg,Empire,Territory,Policy,SocialProt,Economic,ProtOwn,Outcome,BattleFatUS,BattleFatB,BattleFat,BattleLevUS,BattleLevB,BattleLev,FatUS,FatB,Fatalities,fatlevUS,fatlevB,FatLev,MaxCost,MaxTroops,MaxNavy,MaxAir,MIP,Additions to MID,MID Dummy,IMI Dummy,MIPS Dummy,CRS Dummy,ACD Dummy,National Interest Index,contiguity,ContiguityDummy,War,US milex,US milper,US irst,US pec,US tpop,US upop,US CINC,State B milex,State B milper,State B irst,State B pec,State B tpop,State B upop,State B CINC,defense,neutrality,nonaggression,entente,AllianceDummy,Alliances (1-4),Colonial land,Colonial sea,Colonial contiguity,ColonialDummy,US imports,US exports,State B imports,State B exports,Trade flow1,Trade flow2,smoothflow1,smoothflow2,smoothtotrade,spike1,spike2,dip1,dip2,trdspike,tradedip,US democ,US autoc,US polity,US polity2,US durable,State B democ,State B autoc,State B polity,State B polity2,State B durable,US Dsource,US idp,US host,US hostChange,State B source,State B idp,State B host,US nGDP,US rGDP,US nGDP capita ,US rGDP capita,US rGDPCChange,US Recession,ideal1,ideal2,absidealdiff,s2un,s3un,agree2un,agree3un,jointvotes2,jointvotes3,PHYSINT,DISAP,KILL,POLPRIS,TORT,EMPINX,ASSN,FORMOV,DOMMOV,OLD_MOVE,SPEECH,ELECSD,OLD_RELFRE,RELFRE,WORKER,WECON,WOPOL,WOSOC,INJUD,UNRegN,UNRegT,UNSUBREG,SubRegT,SubRegN,OECDReg,PTS_A,PTS_S,US Defense Spending,ChildMort,LifeExp,StateBHC,StateBrGDP ,USHC,USunemp,USDeficit,USDecifitGDP,USDeficitCon,USDebtGDP,USExpGDP,USDExpGDP,USCapInv,DefOutlay%,DODOutlays$,DOSOutlays$,SDratioOutlays$,DODOutlays%,DOSOutlays%,SDratioOutlays%,DOD BA$,DOS BA$,SDratioBA$,DOD BA%,DOS BA%,SDratioBA%,SenateDem,HouseDem,PresidentDem,DemControl,RepControl,CongressDem,CongressRep,PresElectionYear,ViolentCrime,Murder,LegacyRape,Robbery,AggravatedAssault,PropertyCrime ,Burglary,LarcenyTheft,VehicleTheft,oil_prod,oil_price_2000,oil_price_nom,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oilgas_value_nom,oilgas_value_2000,oilgas_value_2014,oil_exports,gas_exports,coup1,coup2,coup3,coup4,democracy,assconfid,poppreselec,regime,ttd,tta,stra,Oil Dummy,Population (in thousands),MilExp_Con,ExpShareGDP,Description
RUS,365,1973,0,Yom Kippur War/October War,1,651,353,0,6,10,31,10,1973,0,24,4,4,Nixon,0,5,3,10,3,10,3,10,0,0,0,0,2,Maintain/Build Foreign Regime Authority; Maintain Empire,2;3,0,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,2,2,1,0,78385000,2206,136804,2490304,211909,55743,0.1588194,96410000,4000,131000,1411644,249802,83806,0.1674098,0,0,0,0,0,0,0,0,0,0,74296.6,71431.7,21112.28906,21462.31055,233.39999,1202.1,233.39999,1202.1,1435.5,0,0,0,0,0,0,8,0,8,8,164,,,,,,,,,,,,,1425400,5687200,6725.52,26834.14,0,0,2.215,-2.347,4.562,-0.18367,0.01064,0.40816,0.50532,49,94,,,,,,,,,,,,,,,,,,,,150,Europe,151,Eastern Europe,151,eca,,,18.42,3.222000122,68.222,,,3.157455921,4.858333333,-14908,-1.1,-65.8,34.4,28.2,6,17624,31.2,75033,807,1.075526768,30.5,0.3,0.983606557,,,,,,,1,1,0,2,1,1,0,0,417.4,9.4,24.5,183.1,200.5,3737,1222.5,2071.9,442.6,429000000,12.58577,3.29,10345635300,40101979154,55131139007,1702.948614,13512777.25,2.495984177,0.22,5936596328,23011565291,31635690596,16282231628,63113544444,86766829603,,,0,0,0,0,0,0,0,3,0,0,0,1,211939,460532,0.059,Yom Kippur War.
CUB,40,1974,,,,,2951,1,23,2,24,2,1974,0,2,4,4,Nixon,0,5,1,1,4,17,4,17,1,1,1,0,,,,,,,,,,,,7,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,0,0,2,4,1,0,85906000,2146,132196,2430725,213854,55736,0.1526986,282000,140,250,14384,9162,1956,0.0021379,0,0,0,0,0,0,0,1,1,1,110112.2,98600.7,2690,2690,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,165,0,7,-7,-7,13,0,0,909,,346,0,0,1545200,5656500,7224,26444.85,-1.45,1,2.047,-2.046,4.093,-0.26316,-0.04,0.36842,0.48,38,75,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,,,20.09,3.800999832,71.711998,,,3.191793442,5.641666667,-6135,-0.4,-25,32.6,28.4,5.7,17385,29.5,77864,955,1.226497483,28.9,0.4,1.384083045,,,,,,,1,1,0,2,1,1,0,0,461.1,9.8,26.2,209.3,215.8,4389.3,1437.7,2489.5,462.2,168000,39.93295,11.58,14260075.2,49823818.62,68496466.47,0.133257053,13216605.45,2.441277426,0.3,504074.7406,1761205.891,2421259.221,14764149.94,51585024.52,70917725.69,,,0,0,0,0,0,0,0,3,0,0,1,0,213898,454518,0.06,"Cuba forced down an American missionary plane on February 23, 1974. The plane was released the following day after the pilot paid a fine. The pilot had permission to fly through Cuban airspace but flew too low. (Gibler)"
CAM,811,1975,1,Mayaguez crisis,,811,356,0,12,5,15,5,1975,0,4,4,4,Ford,0,5,4,19,4,19,4,18,0,0,1,0,1,Protect own Military and/or Diplomatic Interests,8,0,0,0,0,0,0,0,1,1,18,,18,1,,1,41,,,1,-9,-9,,1000,3,13,1,0,1,1,0,0,0,0,0,0,0,90948000,2098,105897,2393766,215973,55728,0.1439478,67008,62,0,1456,7098,415,0.0008241,0,0,0,0,0,0,0,0,0,0,105521,107698.3,92,6,1,66,1,66,67,0,0,0,0,0,0,10,0,10,10,166,-77,-77,-77,0,0,,,,-100,,,,1684900,5644800,7801.15,26135.63,-1.17,1,2.172,0.05,2.122,-0.81818,-0.3913,0.09091,0.30435,11,23,,,,,,,,,,,,,,,,,,,,142,Asia,35,Asia,35,eap,,,21.87,,,1.246165037,6855.50293,3.226504326,8.475,-53242,-3.3,-197.6,33.6,31.5,5.8,18665,26,84852,1075,1.266911799,25.5,0.3,1.176470588,,,,,,,1,1,0,2,1,1,0,0,487.8,9.6,26.3,220.8,231.1,4810.7,1532.1,2804.8,473.7,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,0,0,215981,429557,0.056,Mayaguez Rescue--NYT
PRK,731,1975,1,Show of U.S. Planes,0,731,1472,0,15,2,1,9,1975,0,199,4,4,Ford,0,5,3,9,3,9,2,2,0,0,1,0,4,Maintain Empire; Protect own Military and/or Diplomatic Interests,3;8,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,1,0,1,0,0,0,0,0,0,0,0,90948000,2098,105897,2393766,215973,55728,0.1439478,879268,470,5200,39904,16301,1969,0.0064874,0,0,0,0,0,0,0,0,0,0,105521,107698.3,,382.7559091,-9,1,-9,1,-9,0,0,0,0,0,0,10,0,10,10,166,0,9,-9,-9,27,,,,,,,,1684900,5644800,7801.15,26135.63,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,,,21.87,5.377899933,63.578999,,,3.226504326,8.475,-53242,-3.3,-197.6,33.6,31.5,5.8,18665,26,84852,1075,1.266911799,25.5,0.3,1.176470588,,,,,,,1,1,0,2,1,1,0,0,487.8,9.6,26.3,220.8,231.1,4810.7,1532.1,2804.8,473.7,0,36.43979,11.53,0,0,0,0,15016188.1,2.773683544,0.44,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,0,,215981,429557,0.056,"American fighter planes joined South Korean forces south of the demarcation line.  The President of North Korea, Kim Il-Sung, issued a warning to the U.S. to withdraw. U.S. Secretary of State Henry Kissinger responded by warning North Korea not to test the U.S. military commitment to defend South Korea.  "
ANG,540,1976,CIA Intervention,,,,,1,,,,,1992,0,,4,4,Ford,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,0,1,0,0,0,91013000,2075,116121,2536257,218035,55721,0.1424627,-9,35,5,4107,6277,733,0.0008335,0,0,0,0,0,0,0,0,0,0,132227,115108.3,,,325.5,35,325.5,35,360.5,0,0,0,0,0,0,10,0,10,10,167,0,7,-7,-7,1,0,0,814,,631,350,0,1873400,5949000,8590.19,27278.23,4.37,0,2.402,-0.69,3.092,0.33333,0.25,0.66667,0.625,3,4,,,,,,,,,,,,,,,,,,,,2,Africa,17,Sub-Saharan Africa,202,ssa,3,NA,24.06,,,1.030837774,52514.61719,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,0,1,218086,417872,0.052,CIA assists South African-backed rebels.
CUB,40,1976,1,Fishing Vessel Seizure,0,40,2958,0,7,1,10,1,1976,0,4,4,4,Ford,0,5,4,17,4,17,1,1,1,1,1,1,1,Economic Protection,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,2,4,1,0,91013000,2075,116121,2536257,218035,55721,0.1424627,-9,125,250,15497,9430,2216,0.0023364,0,0,0,0,0,0,0,1,1,1,132227,115108.3,3879,3284,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,167,0,7,-7,-7,15,0,0,814,0,670,0,0,1873400,5949000,8590.19,27278.23,0,0,2.402,-1.776,4.178,-0.48571,-0.175,0.25714,0.4125,35,80,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,3,NA,24.06,3.161199951,72.550003,,,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,234000,38.23404,12.8,21954816,66425481.37,91319992.78,0.143413307,17871229.03,3.301046414,0.58,847108.3471,2562972.048,3523506.102,22801924.35,68988453.42,94843498.88,,,0,0,0,0,0,0,0,3,0,0,1,0,218086,417872,0.052,The US Coast Guard seized a Cuban fishing boat because it was taking lobsters illegally. (Gibler)
ISR,666,1976,,,,,2335,1,31,8,6,9,1976,0,7,4,4,Ford,0,5,1,1,4,18,4,18,1,1,1,0,,,,,,,,,,,,6,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,91013000,2075,116121,2536257,218035,55721,0.1424627,3548631,172,70,11974,3533,1483,0.0032041,0,0,0,0,0,0,0,0,0,0,132227,115108.3,5668.66,2415.21,437.10001,888.23999,437.10001,888.23999,1325.34,0,0,0,0,0,0,10,0,10,10,167,9,0,9,9,28,0,0,814,0,1007,626,84,1873400,5949000,8590.19,27278.23,0,0,2.402,2.433,0.031,0.65714,0.56522,0.82857,0.78261,35,69,,,,,,,,,,,,,,,,,,,,142,Asia,145,Middle East,5,mena,4,1,24.06,2.122500038,73.216003,2.785604239,51132.44141,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,36000,38.23404,12.8,3377664,10219304.83,14049229.66,0.359146144,17871229.03,3.301046414,0.58,2121390.989,6418382.992,8823822.973,5499054.989,16637687.82,22873052.63,,,0,0,0,0,1,1,0,0,0,0,0,0,218086,417872,0.052,The US State Department reported that Israeli gunboats fired on American prospect markers in the Suez. No one was hurt and the American oil ship complied with all Israeli requests to leave the area. The State Department summoned the Israeli Ambassador to discuss American concerns in the area. (Gibler)
LEB,660,1976,,Evacuation of Beirut,0,660,,0,18,6,21,6,1976,0,4,4,4,Ford,0,5,3,12,3,12,1,1,0,0,1,0,1,Protect own Military and/or Diplomatic Interests,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,1,0,0,0,0,0,91013000,2075,116121,2536257,218035,55721,0.1424627,112615,24,0,3139,2772,717,0.0005077,0,0,0,0,0,0,0,0,0,0,132227,115108.3,810,800,5,49,22.65,246.3,285.45001,0,0,1,1,0,1,10,0,10,10,167,-77,-77,-77,0,0,0,0,814,0,372,150,197,1873400,5949000,8590.19,27278.23,0,0,2.402,-0.24,2.642,-0.12821,-0.04478,0.4359,0.47761,39,67,,,,,,,,,,,,,,,,,,,,142,Asia,145,Middle East,5,mena,NA,NA,24.06,,,,13639.41504,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,3,0,0,1,0,218086,417872,0.052,"In June 1976, helicopters from five U.S. naval vessels evacuated approximately 250 Americans and Europeans from Lebanon during fighting between Lebanese factions after an overland convoy evacuation had been blocked by hostilities. "
PRK,731,1976,,,,,2960,1,15,10,15,10,1976,0,1,4,4,Ford,0,5,3,14,3,14,1,1,1,1,1,1,,,,,,,,,,,,5,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,91013000,2075,116121,2536257,218035,55721,0.1424627,1003962,500,5300,41130,16621,2133,0.0067056,0,0,0,0,0,0,0,0,0,0,132227,115108.3,,257.1782727,-9,0,-9,0,-9,0,0,0,0,0,0,10,0,10,10,167,0,9,-9,-9,28,0,0,814,0,0,0,0,1873400,5949000,8590.19,27278.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,NA,NA,24.06,5.120600128,64.206001,,,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,0,38.23404,12.8,0,0,0,0,17871229.03,3.301046414,0.58,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,0,,218086,417872,0.052,North Korea accused the United States of conducting SR-71 reconnaissance flights over North Korea. (Gibler)
PRK,731,1976,1,Operation Paul Bunyan,1,362,362,0,19,8,21,8,1976,0,3,4,4,Ford,0,5,3,12,4,18,4,18,0,0,1,0,4,Protect Own Military Interests,8,0,0,0,0,0,0,0,1,1,2,0,2,1,0,1,2,0,2,1,0,1,,813,,23,1,0,1,0,0,0,0,0,0,0,0,91013000,2075,116121,2536257,218035,55721,0.1424627,1003962,500,5300,41130,16621,2133,0.0067056,0,0,0,0,0,0,0,0,0,0,132227,115108.3,,257.1782727,-9,0,-9,0,-9,0,0,0,0,0,0,10,0,10,10,167,0,9,-9,-9,28,0,0,814,,0,0,0,1873400,5949000,8590.19,27278.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,NA,NA,24.06,5.120600128,64.206001,,,3.249995708,7.7,-73732,-4.1,-255.3,35.1,31.5,5.4,19247,24.1,87917,1393,1.584448969,23.6,0.4,1.694915254,95503,1251,1.309906495,22.7,0.3,1.321585903,1,1,0,2,1,1,0,1,467.8,8.7,26.6,199.3,233.2,4819.5,1448.2,2921.3,450,0,38.23404,12.8,0,0,0,0,17871229.03,3.301046414,0.58,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,0,,218086,417872,0.052,"The United States, in conjunction with South Korea, conducted a massive show of force known as Operation Paul Bunyan.  Additionally, President Ford moved the U.S. to DEFCON 3."
CUB,40,1977,,,,,2962,1,30,4,1,5,1977,0,2,4,4,Carter,0,5,1,1,4,17,4,17,1,1,1,0,,,,,,,,,,,,7,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,0,0,2,4,1,0,100925000,2060,113701,2619481,220239,55713,0.1418244,770000,200,330,16463,9547,2444,0.0027822,0,0,0,0,0,0,0,1,1,1,160446.9,121352.1,4362,3669,0.1,1.5,0.1,1.5,1.6,0,0,0,0,0,0,10,0,10,10,168,0,7,-7,-7,16,0,0,818,0,670,0,0,2081800,6224100,9450.31,28254.25,3.58,0,2.236,-1.818,4.054,0.04348,0.06316,0.52174,0.53158,46,95,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,3,4,25.74,2.888699913,72.922997,,,3.273658037,7.05,-53659,-2.6,-173.2,34.8,30.2,5.1,21556,23.8,95147,1449,1.52290666,23.3,0.4,1.716738197,107906,1530,1.417900765,23,0.3,1.304347826,1,1,1,3,0,1,0,0,475.9,8.8,29.4,190.7,247,4601.7,1419.8,2729.9,451.9,256000,39.04015,13.92,26120601.6,74171485.65,101968994.3,0.116096486,22498960.61,4.155848101,0.79,919872.6966,2612050.272,3590977.545,27040474.3,76783535.92,105559971.9,,,0,0,0,0,0,0,0,3,0,0,1,0,220289,433642,0.052,Cuba detained an American marine research vessel for almost three days. The American captain said they entered Cuban waters by mistake. (Gibler)
PRK,731,1977,,North Korea Hostilities,0,731,2192,0,7,4,19,5,1978,0,408,4,4,Carter,0,5,3,10,4,19,4,19,0,0,1,0,2,Maintain/Build Foreign Regime Authority; Protect own Military and/or Diplomatic Interests,2;8,0,1,0,0,0,0,0,1,1,3,0,3,1,0,1,3,0,3,3,0,3,N/A,44000,200,N/A,1,0,1,0,0,0,0,0,0,0,0,100925000,2060,113701,2619481,220239,55713,0.1418244,1033658,520,5400,42798,16907,2292,0.0069031,0,0,0,0,0,0,0,0,0,0,160446.9,121352.1,,374.6584545,-9,0,-9,0,-9,0,0,0,0,0,0,10,0,10,10,168,0,9,-9,-9,29,0,0,818,0,0,0,0,2081800,6224100,9450.31,28254.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,Asia,30,Asia,35,eap,NA,NA,25.74,4.889199829,64.776001,,,3.273658037,7.05,-53659,-2.6,-173.2,34.8,30.2,5.1,21556,23.8,95147,1449,1.52290666,23.3,0.4,1.716738197,107906,1530,1.417900765,23,0.3,1.304347826,1,1,1,3,0,1,0,0,475.9,8.8,29.4,190.7,247,4601.7,1419.8,2729.9,451.9,0,39.04015,13.92,0,0,0,0,22498960.61,4.155848101,0.79,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,0,0,0,,220289,433642,0.052,"his dispute involves various skirmishes between North Korea and South Korea between 1977 and 1978.  Throughout the skirmishes, the U.S. provided military and diplomatic support to South Korea."
RUS,365,1977,,"Russia, 1977",,2,2222,1,9,4,5,5,1977,0,27,4,4,Carter,0,5,4,17,4,17,1,1,,1,1,0,1, Acquire/Defend Territory,4,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,2,2,1,0,100925000,2060,113701,2619481,220239,55713,0.1418244,149000000,3900,147000,1689825,259029,95626,0.1735535,0,0,0,0,0,0,0,0,0,0,160446.9,121352.1,40817.55078,45160.55078,472.10001,1658.2,472.10001,1658.2,2130.3,0,0,0,0,0,0,10,0,10,10,168,,,,,,0,0,818,0,99,0,0,2081800,6224100,9450.31,28254.25,0,0,2.236,-2.461,4.697,-0.11111,0,0.44444,0.5,45,97,,,,,,,,,,,,,,,,,,,,150,Europe,151,Eastern Europe,151,eca,NA,NA,25.74,3.364400101,67.620003,,,3.273658037,7.05,-53659,-2.6,-173.2,34.8,30.2,5.1,21556,23.8,95147,1449,1.52290666,23.3,0.4,1.716738197,107906,1530,1.417900765,23,0.3,1.304347826,1,1,1,3,0,1,0,0,475.9,8.8,29.4,190.7,247,4601.7,1419.8,2729.9,451.9,546000000,39.04015,13.92,55710345600,158194000000,217481000000,2493.526111,22498960.61,4.155848101,0.79,19757071563,56101745754,77127194441,75467417163,214296000000,294608000000,,,0,0,0,0,0,0,0,3,0,0,0,1,220289,433642,0.052,"The United States seized the Soviet trawler Taras Shevchenko for violating the 200-mile fishing boundary. The ship and crew were tried, fined, and released. (Gibler)"
DRC,490,1978,"0, FNLC rebels",Battle of Kolwezi,0,490,,0,11,5,5,6,1978,0,26,4,4,Carter,0,5,3,9,3,9,1,1,0,0,0,0,2,"Build Foreign Regime, Protect Own Diplomatic Interests. ","2,8",0,1,0,0,0,0,0,1,1,0,220,900,0,5,6,0,220,900,0,5,6,N/A,100,0,not stated,1,1,0,0,0,1,0,0,0,0,0,109247000,2060,124314,2612982,222585,56208,0.1396744,45455,53,0,8253,24774,5420,0.0024669,0,0,0,0,0,0,0,0,0,0,186071.9,143818.9,714,1065,249.5,74,249.5,74,323.5,0,0,0,0,0,0,10,0,10,10,169,0,9,-9,-9,12,0,0,719,-12,0,0,612,2351600,6568600,10562.86,29504.69,4.43,0,2.234,0.304,1.93,0.38667,0.27273,0.69333,0.63636,75,121,,,,,,,,,,,,,,,,,,,,2,Africa,17,Sub-Saharan Africa,202,ssa,4,3,27.84,,,1.170630097,43607.02734,3.297492504,6.066666667,-59185,-2.6,-179.8,34.1,29.7,4.9,23227,22.8,102259,1658,1.62137318,22.3,0.4,1.793721973,114531,1798,1.569880644,22.7,0.4,1.762114537,1,1,1,3,0,1,0,0,497.8,9,31,195.8,262.1,4642.5,1434.6,2747.4,460.5,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,4,0,0,0,0,222629,436386,0.049,"Zaire. From May 19 through June 1978, the United States utilized military transport aircraft to provide logistical support to Belgian and French rescue operations in Zaire. "
RUS,365,1978,0 (Iran),US-USSR Tensions over Iran,0,630,2223,0,19,11,4,1,1979,0,47,4,4,Carter,0,5,3,8,3,8,2,2,1,1,1,0,1,Maintain Empire; Protect own Diplomatic Interests,3; 8,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,0,0,0,0,2,2,1,0,109247000,2060,124314,2612982,222585,56208,0.1396744,163000000,3900,151000,1766924,261253,97367,0.1708518,0,0,0,0,0,0,0,0,0,0,186071.9,143818.9,50546.03906,52219.30859,563.29999,2282.7,563.29999,2282.7,2846,0,0,0,0,0,0,10,0,10,10,169,,,,,,0,0,719,0,55,0,0,2351600,6568600,10562.86,29504.69,0,0,2.234,-2.478,4.712,-0.25806,-0.0625,0.37097,0.46875,62,128,,,,,,,,,,,,,,,,,,,,150,Europe,151,Eastern Europe,151,eca,NA,NA,27.84,3.37840004,67.485001,,,3.297492504,6.066666667,-59185,-2.6,-179.8,34.1,29.7,4.9,23227,22.8,102259,1658,1.62137318,22.3,0.4,1.793721973,114531,1798,1.569880644,22.7,0.4,1.762114537,1,1,1,3,0,1,0,0,497.8,9,31,195.8,262.1,4642.5,1434.6,2747.4,460.5,572000000,36.53513,14.02,58782495200,155251000000,213435000000,2682.342425,20099450.44,3.712627637,0.91,20413282713,53913608638,74119001478,79195777913,209164000000,287554000000,,,0,0,0,0,0,0,0,3,0,0,0,1,222629,436386,0.049,"As Iranian Revolution was nearing its end, Soviet Premier Breshnev warned the United States that interference in Iranian affairs would be considered a matter affecting security interests of the USSR.  As rhetoric became more anti-western in the revolution, the Carter Administration sent American warships to the Persian Gulf in a show of force; USSR protested but did not act."
CAN,20,1979,,,,,2968,1,28,8,31,8,1979,0,4,4,4,Carter,0,5,1,1,4,19,4,19,1,1,1,0,,,,,,,,,,,,5,,,,,,,,,,0,0,0,,,,,1,0,1,0,0,0,0,2,1,1,0,122279000,2033,123688,2659868,225055,56702,0.1372161,4119005,79,16078,288132,24202,5653,0.0117834,1,0,1,1,1,3,0,0,0,0,222406.7,182073.4,60837.2,58299.2,38970.398,42467.699,38970.398,42467.699,81438.102,0,0,0,0,0,0,10,0,10,10,170,10,0,10,10,91,,,,,,,,2627300,6776600,11671.39,30104.04,2.03,0,2.3,1.837,0.463,0.90164,0.64754,0.95082,0.82377,61,122,,,,,,,,,,,,,,,,,,,,21,N. America,21,N. America,21,na,NA,1,30.09,1.339999962,74.794998,3.059381723,665597.5625,3.321500778,5.85,-40726,-1.6,-113.9,32.3,28.9,4.8,28689,23.1,113605,1987,1.749042736,22.5,0.4,1.777777778,123595,2075,1.678870504,22.1,0.4,1.809954751,1,1,1,3,0,1,0,0,548.9,9.8,34.7,218.4,286,5016.6,1511.9,2999.1,505.6,73300000,74.01507,31.61,16983705290,40283664613,55380915365,715.4450346,23003312.72,4.249008439,1.18,6938572507,16457605864,22625480731,23922277797,56741270478,78006396097,,,0,0,0,0,1,1,0,0,0,0,0,0,225106,438890,0.05,Canada seized eight American ships 60 miles from Vancouver. 
"CUB, RUS",40,1979,1,Caribbean task force,0,40,2225,0,30,8,20,11,1979,0,82,4,4,Carter,0,5,3,7,3,7,3,7,1,1,0,0,1,Policy Change,5,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,unstated,unstated,unstated,unstated,1,0,1,0,0,0,0,2,4,1,0,122279000,2033,123688,2659868,225055,56702,0.1372161,,,,,,,,0,0,0,0,0,0,0,1,1,1,222406.7,182073.4,5089,4829,0.30000001,0.2,0.30000001,0.2,0.15000001,0,0,0,0,1,0,10,0,10,10,170,0,7,-7,-7,18,,,,,,,,2627300,6776600,11671.39,30104.04,0,0,2.3,-1.38,3.68,-0.46479,-0.27273,0.26761,0.36364,71,121,,,,,,,,,,,,,,,,,,,,419,Latin America & Caribbean,29,Caribbean,29,lac,3,3,30.09,,,,,3.321500778,5.85,-40726,-1.6,-113.9,32.3,28.9,4.8,28689,23.1,113605,1987,1.749042736,22.5,0.4,1.777777778,123595,2075,1.678870504,22.1,0.4,1.809954751,1,1,1,3,0,1,0,0,548.9,9.8,34.7,218.4,286,5016.6,1511.9,2999.1,505.6,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,1,0,225106,438890,0.05,"US State Department concerned about aerial photographs showing a Soviet troop presence in Cuba of up to 3,000 infantry.  In response to the Soviet presence, Carter issued a statement declaring that a full-time Carribean joint task force headquarters would be established in the Florida keys, that military maneuvers in the Caribbean would be expanded, and that American military presence in Guantanamo Bay would be increased."
